Date,Name / Description,Expense/Income,Amount (EUR),Transaction vs category,Transaction,Category
2023-11-04,Salary,Income,4.5,1. Salary - Income,1. Salary,Income
2023-11-05,YouTube Revenue,Income,1.2,2. YouTube Revenue - Business,2. YouTube Revenue,Business
2023-11-06,Anime Streaming Subscriptions,Expense,50.0,3. Anime Streaming Subscriptions - Entertainment,3. Anime Streaming Subscriptions,Entertainment
2023-11-07,Book Purchases,Expense,80.0,4. Book Purchases - Entertainment,4. Book Purchases,Entertainment
2023-11-08,Rent,Expense,1.2,5. Rent - Housing,5. Rent,Housing
2023-11-09,Travel,Expense,20.0,6. Travel - Transportation,6. Travel,Transportation
2023-11-10,Gym,Expense,20.0,7. Gym - Health & Fitness,7. Gym,Health & Fitness
2023-11-11,Transportation,Expense,30.0,8. Transportation - Transportation,8. Transportation,Transportation
2023-11-12,Miscellaneous,Expense,100.0,9. Miscellaneous - Miscellaneous,9. Miscellaneous,Miscellaneous
2023-11-13,Gifts/Charity,Expense,40.0,10. Gifts/Charity - Charitable Contributions,10. Gifts/Charity,Charitable Contributions
2023-11-14,Home Office Supplies,Expense,500.0,11. Home Office Supplies - Office,11. Home Office Supplies,Office
2024-01-01,Sponsorship Deals,Income,800.0,12. Sponsorship Deals - Business,12. Sponsorship Deals,Business
2024-01-02,Freelance Tech Projects,Income,600.0,13. Freelance Tech Projects - Business,13. Freelance Tech Projects,Business
2024-01-03,Travel,Expense,700.0,14. Tech Gadgets/Upgrades - Technology,14. Tech Gadgets/Upgrades,Technology
2024-01-04,Anime Streaming Subscriptions,Expense,50.0,15. Food Delivery - Food & Beverage,15. Food Delivery,Food & Beverage
2024-01-05,Book Purchases,Expense,80.0,16. Rent/Mortgage - Housing,16. Rent/Mortgage,Housing
2024-01-06,Tech Gadgets/Upgrades,Expense,300.0,17. Utilities - Utilities,17. Utilities,Utilities
2024-01-07,Food Delivery,Expense,500.0,18. Anime movie - Entertainment,18. Anime movie,Entertainment
2024-01-08,Rent/Mortgage,Expense,1.2,19. Health & Fitness - Health & Fitness,19. Health & Fitness,Health & Fitness
2024-01-09,Utilities,Expense,200.0,"20. Software Subscriptions (e.g., for tech tools) - Technology","20. Software Subscriptions (e.g., for tech tools)",Technology
2024-01-10,Transportation,Expense,150.0,"21. YouTube Equipment (camera, microphone) - Technology","21. YouTube Equipment (camera, microphone)",Technology
2024-01-11,Anime movie,Expense,100.0,22. Anime Merchandise - Shopping,22. Anime Merchandise,Shopping
2024-01-12,Health & Fitness,Expense,100.0,23. Book Club Membership - Entertainment,23. Book Club Membership,Entertainment
2024-01-13,Miscellaneous,Expense,100.0,24. Data Plan/Internet - Technology,24. Data Plan/Internet,Technology
2024-01-14,"Software Subscriptions (e.g., for tech tools)",Expense,50.0,25. Conference/Workshop Fees - Business,25. Conference/Workshop Fees,Business
2024-01-15,"YouTube Equipment (camera, microphone)",Expense,150.0,26. Monthly Salary - Income,26. Monthly Salary,Income
2024-01-16,Anime Merchandise,Expense,40.0,27. Miscellaneous Expenses - Miscellaneous,27. Miscellaneous Expenses,Miscellaneous
2024-01-17,Book Club Membership,Expense,20.0,28. Insurance (Health/Property) - Finance,28. Insurance (Health/Property),Finance
2024-01-18,Data Plan/Internet,Expense,60.0,29. Streaming Services (Other than anime) - Entertainment,29. Streaming Services (Other than anime),Entertainment
2024-01-19,Conference/Workshop Fees,Expense,100.0,30. Mobile Phone Plan - Communication,30. Mobile Phone Plan,Communication
2024-01-20,Gifts/Charity,Expense,50.0,1. Dining Out (Restaurants/Cafes) - Food & Beverage,1. Dining Out (Restaurants/Cafes),Food & Beverage
2024-01-21,Home Office Supplies,Expense,30.0,2. Hobbies (Non-tech related) - Leisure,2. Hobbies (Non-tech related),Leisure
2024-01-22,Monthly Salary,Income,4.5,3. Clothing & Accessories - Fashion,3. Clothing & Accessories,Fashion
2024-01-23,YouTube Revenue,Income,1.2,"4. Personal Care (Salon, etc.) - Grooming","4. Personal Care (Salon, etc.)",Grooming
2024-01-24,Sponsorship Deals,Income,800.0,5. Savings/Investments - Financial Planning,5. Savings/Investments,Financial Planning
2024-01-25,Freelance Tech Projects,Income,600.0,6. Full-Time Data Scientist Salary - Income,6. Full-Time Data Scientist Salary,Income
2024-01-26,Rent/Mortgage,Expense,1.2,7. YouTube Ad Revenue - Online Income,7. YouTube Ad Revenue,Online Income
2024-01-27,Utilities,Expense,200.0,8. Affiliate Marketing - Online Income,8. Affiliate Marketing,Online Income
2024-01-28,Food Delivery,Expense,500.0,9. Merchandise Sales - Online Income,9. Merchandise Sales,Online Income
2024-01-29,Travel,Expense,700.0,10. Monthly Travel - Travel,10. Monthly Travel,Travel
2024-01-30,Anime Streaming Subscriptions,Expense,50.0,"11. Health & Fitness (Gym, Equipment) - Wellness","11. Health & Fitness (Gym, Equipment)",Wellness
2024-01-31,Book Purchases,Expense,80.0,12. Travel Insurance - Protection,12. Travel Insurance,Protection
2024-02-01,Tech Gadgets/Upgrades,Expense,300.0,13. Online Courses (Tech/Personal Dev) - Learning,13. Online Courses (Tech/Personal Dev),Learning
2024-02-02,Transportation,Expense,150.0,14. Professional Memberships - Career Development,14. Professional Memberships,Career Development
2024-02-03,Anime movie,Expense,100.0,15. Gaming Subscriptions - Entertainment,15. Gaming Subscriptions,Entertainment
2024-02-04,Health & Fitness,Expense,100.0,"16. Streaming Services (Netflix, etc.) - Entertainment","16. Streaming Services (Netflix, etc.)",Entertainment
2024-02-05,Miscellaneous Expenses,Expense,100.0,17. Clothing/Apparel - Fashion,17. Clothing/Apparel,Fashion
2024-02-06,Data Plan/Internet,Expense,60.0,18. Beauty/Personal Care - Grooming,18. Beauty/Personal Care,Grooming
2024-02-07,Conference/Workshop Fees,Expense,100.0,"19. Software Subscriptions (Editing, etc.) - Technology","19. Software Subscriptions (Editing, etc.)",Technology
2024-02-08,Gifts/Charity,Expense,50.0,20. Social Media Advertising - Online Marketing,20. Social Media Advertising,Online Marketing
2024-02-09,Home Office Supplies,Expense,30.0,"21. Equipment Rentals (Cameras, etc.) - Tools","21. Equipment Rentals (Cameras, etc.)",Tools
2024-02-10,Insurance (Health/Property),Expense,200.0,"22. Pet Care (Food, Vet, etc.) - Pets","22. Pet Care (Food, Vet, etc.)",Pets
2024-02-11,Streaming Services (Other than anime),Expense,30.0,"23. Hobbies (DIY, Crafting) - Leisure","23. Hobbies (DIY, Crafting)",Leisure
2024-02-12,Mobile Phone Plan,Expense,40.0,24. Home Maintenance - Household,24. Home Maintenance,Household
2024-02-13,Dining Out (Restaurants/Cafes),Expense,120.0,25. Dining Out (Restaurants) - Food & Beverage,25. Dining Out (Restaurants),Food & Beverage
2024-02-14,Hobbies (Non-tech related),Expense,50.0,1. Travel Accessories - Travel,1. Travel Accessories,Travel
2024-02-15,Clothing & Accessories,Expense,70.0,2. Local Experiences/Tours - Travel,2. Local Experiences/Tours,Travel
2024-02-16,"Personal Care (Salon, etc.)",Expense,50.0,3. Online Course Sales - Education,3. Online Course Sales,Education
2024-02-17,Savings/Investments,Expense,500.0,4. Consulting Fees - Business,4. Consulting Fees,Business
2024-02-18,Full-Time Data Scientist Salary,Income,4.5,5. Guest Speaking Engagements - Business,5. Guest Speaking Engagements,Business
2024-02-19,YouTube Ad Revenue,Income,1.2,6. Ad Revenue from Affiliate Links - Online Business,6. Ad Revenue from Affiliate Links,Online Business
2024-02-20,Sponsorship Deals,Income,800.0,7. Streaming Device Upgrades - Technology,7. Streaming Device Upgrades,Technology
2024-02-21,Freelance Tech Projects,Income,600.0,8. Tech Conferences - Business,8. Tech Conferences,Business
2024-02-22,Affiliate Marketing,Income,200.0,9. Monthly Cloud Storage Fees - Technology,9. Monthly Cloud Storage Fees,Technology
2024-02-23,Merchandise Sales,Income,150.0,10. Data Recovery Services - Technology,10. Data Recovery Services,Technology
2024-02-24,Rent/Mortgage,Expense,1.2,11. Subscription Boxes (Tech/Anime) - Hobbies,11. Subscription Boxes (Tech/Anime),Hobbies
2024-02-25,Food Delivery,Expense,500.0,12. Special Anime Merchandise - Hobbies,12. Special Anime Merchandise,Hobbies
2024-02-26,Monthly Travel,Expense,700.0,"13. Books (Rare Editions, Collectibles) - Hobbies","13. Books (Rare Editions, Collectibles)",Hobbies
2024-02-27,Anime Streaming Subscriptions,Expense,50.0,14. Language Learning Tools - Education,14. Language Learning Tools,Education
2024-02-28,Book Purchases,Expense,80.0,15. Travel Guides and Maps - Travel,15. Travel Guides and Maps,Travel
2024-02-29,Tech Gadgets/Upgrades,Expense,300.0,16. Travel Accommodation (Hotels) - Travel,16. Travel Accommodation (Hotels),Travel
2024-03-01,Utilities,Expense,200.0,17. Frequent Flyer Membership - Travel,17. Frequent Flyer Membership,Travel
2024-03-02,Transportation,Expense,150.0,18. Local Tours and Activities - Travel,18. Local Tours and Activities,Travel
2024-03-03,Anime movie,Expense,100.0,19. Travel Food and Beverages - Travel,19. Travel Food and Beverages,Travel
2024-03-04,"Health & Fitness (Gym, Equipment)",Expense,100.0,20. Professional Photography Equipment - Hobbies,20. Professional Photography Equipment,Hobbies
2024-03-05,Miscellaneous Expenses,Expense,100.0,21. Tech Gadget Insurance - Technology,21. Tech Gadget Insurance,Technology
2024-03-06,Data Plan/Internet,Expense,60.0,22. VR Equipment - Technology,22. VR Equipment,Technology
2024-03-07,Conference/Workshop Fees,Expense,100.0,23. Custom Computer Builds - Technology,23. Custom Computer Builds,Technology
2024-03-08,Gifts/Charity,Expense,50.0,24. High-Speed Internet Upgrade - Technology,24. High-Speed Internet Upgrade,Technology
2024-03-09,Home Office Supplies,Expense,30.0,25. Software Licenses (For Projects) - Business,25. Software Licenses (For Projects),Business
2024-03-10,Anime Merchandise,Expense,100.0,26. Mobile App Subscriptions - Online Business,26. Mobile App Subscriptions,Online Business
2024-03-11,Travel Insurance,Expense,50.0,27. Memberships to Industry Groups - Business,27. Memberships to Industry Groups,Business
2024-03-12,Online Courses (Tech/Personal Dev),Expense,150.0,28. Language Classes (Local) - Education,28. Language Classes (Local),Education
2024-03-13,Professional Memberships,Expense,80.0,29. Personal Development Books - Self-Improvement,29. Personal Development Books,Self-Improvement
2024-03-14,Gaming Subscriptions,Expense,20.0,"30. Fitness Classes (Yoga, etc.) - Health and Wellness","30. Fitness Classes (Yoga, etc.)",Health and Wellness
2024-03-15,"Streaming Services (Netflix, etc.)",Expense,40.0,1. Home Decor and Upgrades - Home,1. Home Decor and Upgrades,Home
2024-03-16,Clothing/Apparel,Expense,150.0,2. Car Insurance - Finance,2. Car Insurance,Finance
2024-03-17,Beauty/Personal Care,Expense,50.0,3. Car Fuel - Transportation,3. Car Fuel,Transportation
2024-03-18,"Software Subscriptions (Editing, etc.)",Expense,70.0,4. Subscription to Premium Newsletters - Education,4. Subscription to Premium Newsletters,Education
2024-03-19,Social Media Advertising,Expense,100.0,"5. Outdoor Equipment (Camping, Hiking) - Adventure","5. Outdoor Equipment (Camping, Hiking)",Adventure
2024-03-20,"Equipment Rentals (Cameras, etc.)",Expense,90.0,6. Craft Supplies (DIY Projects) - Hobbies,6. Craft Supplies (DIY Projects),Hobbies
2024-03-21,"Pet Care (Food, Vet, etc.)",Expense,50.0,7. Music Lessons or Instruments - Entertainment,7. Music Lessons or Instruments,Entertainment
2024-03-22,"Hobbies (DIY, Crafting)",Expense,40.0,"8. Art Supplies (Drawing, Painting) - Creativity","8. Art Supplies (Drawing, Painting)",Creativity
2024-03-23,Home Maintenance,Expense,60.0,9. Gardening Supplies - Outdoors,9. Gardening Supplies,Outdoors
2024-03-24,Dining Out (Restaurants),Expense,120.0,"10. Event Tickets (Concerts, Sports) - Entertainment","10. Event Tickets (Concerts, Sports)",Entertainment
2024-03-25,Car Maintenance/Repairs,Expense,80.0,11. Seasonal Decorations - Home,11. Seasonal Decorations,Home
2024-03-26,Fitness Apps/Subscriptions,Expense,30.0,12. Custom Anime Art - Personal,12. Custom Anime Art,Personal
2024-03-27,Online Shopping (Miscellaneous),Expense,70.0,13. Pet Insurance - Pets,13. Pet Insurance,Pets
2024-03-28,Investment in Stocks/Cryptocurrency,Expense,200.0,14. Health Check-ups and Medical Expenses - Health,14. Health Check-ups and Medical Expenses,Health
2024-03-29,Savings/Investment Contributions,Expense,400.0,,,
2024-03-30,Travel Accessories,Expense,30.0,,,
2024-03-31,Local Experiences/Tours,Expense,60.0,,,
2024-04-01,Online Course Sales,Income,250.0,,,
2024-04-02,Consulting Fees,Income,400.0,,,
2024-04-03,Guest Speaking Engagements,Income,300.0,,,
2024-04-04,Ad Revenue from Affiliate Links,Income,100.0,,,
2024-04-05,Streaming Device Upgrades,Expense,90.0,,,
2024-04-06,Tech Conferences,Expense,120.0,,,
2024-04-07,Monthly Cloud Storage Fees,Expense,20.0,,,
2024-04-08,Data Recovery Services,Expense,60.0,,,
2024-04-09,Subscription Boxes (Tech/Anime),Expense,80.0,,,
2024-04-10,Special Anime Merchandise,Expense,120.0,,,
2024-04-11,"Books (Rare Editions, Collectibles)",Expense,150.0,,,
2024-04-12,Language Learning Tools,Expense,70.0,,,
2024-04-13,Travel Guides and Maps,Expense,40.0,,,
2024-04-14,Travel Accommodation (Hotels),Expense,250.0,,,
2024-04-15,Frequent Flyer Membership,Expense,150.0,,,
2024-04-16,Local Tours and Activities,Expense,100.0,,,
2024-04-17,Travel Food and Beverages,Expense,80.0,,,
2024-04-18,Professional Photography Equipment,Expense,200.0,,,
2024-04-19,Tech Gadget Insurance,Expense,40.0,,,
2024-04-20,VR Equipment,Expense,150.0,,,
2024-04-21,Custom Computer Builds,Expense,500.0,,,
2024-04-22,High-Speed Internet Upgrade,Expense,70.0,,,
2024-04-23,Software Licenses (For Projects),Expense,90.0,,,
2024-04-24,Mobile App Subscriptions,Expense,25.0,,,
2024-04-25,Memberships to Industry Groups,Expense,60.0,,,
2024-04-26,Language Classes (Local),Expense,100.0,,,
2024-04-27,Personal Development Books,Expense,40.0,,,
2024-04-28,"Fitness Classes (Yoga, etc.)",Expense,60.0,,,
2024-04-29,Home Decor and Upgrades,Expense,150.0,,,
2024-04-30,Car Insurance,Expense,120.0,,,
2024-05-01,Car Fuel,Expense,100.0,,,
2024-05-02,Subscription to Premium Newsletters,Expense,30.0,,,
2024-05-03,"Outdoor Equipment (Camping, Hiking)",Expense,80.0,,,
2024-05-04,Craft Supplies (DIY Projects),Expense,50.0,,,
2024-05-05,Music Lessons or Instruments,Expense,100.0,,,
2024-05-06,"Art Supplies (Drawing, Painting)",Expense,70.0,,,
2024-05-07,Gardening Supplies,Expense,40.0,,,
2024-05-08,"Event Tickets (Concerts, Sports)",Expense,150.0,,,
2024-05-09,Seasonal Decorations,Expense,30.0,,,
2024-05-10,Custom Anime Art,Expense,60.0,,,
2024-05-11,Pet Insurance,Expense,70.0,,,
2024-05-12,Health Check-ups and Medical Expenses,Expense,90.0,,,
